node_id,node_index,has_upstream,mean_delta_macro_nse,seed_42_delta_macro_nse,seed_43_delta_macro_nse,seed_44_delta_macro_nse,seed_45_delta_macro_nse,seed_46_delta_macro_nse
40321907,0,True,0.01573905423283577,0.0021866559982299805,-0.02239227294921875,0.03605411574244499,0.021506577730178833,0.04134019464254379
40323430,1,False,0.0,0.0,0.0,0.0,0.0,0.0
40323438,2,True,0.018466516071930526,0.0045741398353129625,-0.003415346145629883,0.026064366102218628,0.025954753160476685,0.039154667407274246
40324001,3,False,0.0,0.0,0.0,0.0,0.0,0.0
40324526,4,False,0.0,0.0,0.0,0.0,0.0,0.0
40324971,5,True,0.5542672157287598,3.529954433441162,-0.5038557052612305,-0.0870518684387207,2.608370304107666,-2.776081085205078
40326493,6,False,0.0,0.0,0.0,0.0,0.0,0.0
40326494,7,False,0.0,0.0,0.0,0.0,0.0,0.0
40327993,8,False,0.0,0.0,0.0,0.0,0.0,0.0
40332581,9,False,0.0,0.0,0.0,0.0,0.0,0.0
40335035,10,False,0.0,0.0,0.0,0.0,0.0,0.0
40335169,11,False,0.0,0.0,0.0,0.0,0.0,0.0
40335608,12,False,0.0,0.0,0.0,0.0,0.0,0.0
40338190,13,False,0.0,0.0,0.0,0.0,0.0,0.0
40343554,14,True,0.06785867586731911,0.015401381999254227,-0.016448065638542175,-0.013985678553581238,0.15011544525623322,0.2042102962732315
40343949,15,True,0.17605624697171152,0.07888187724165618,-0.36596841365098953,0.6393172517418861,-0.09612976759672165,0.6241802871227264
40344462,16,True,0.02825639545917511,-0.007021233439445496,0.010674059391021729,0.032096266746520996,0.03199303150177002,0.0735398530960083
40344711,17,False,0.0,0.0,0.0,0.0,0.0,0.0
40344826,18,True,0.025289088487625122,0.05160343647003174,0.018337279558181763,0.024278640747070312,-0.005295991897583008,0.037522077560424805
40351507,19,True,0.18360162116587161,0.03547273389995098,0.05150492861866951,0.17568060755729675,0.22825993597507477,0.4270898997783661
40361734,20,False,0.0,0.0,0.0,0.0,0.0,0.0
40364652,21,True,0.041441694274544714,-0.08853711932897568,-0.0176658034324646,0.06460615061223507,0.07547777518630028,0.1733274683356285
40365275,22,True,0.12378318905830384,-0.020320236682891846,0.07069209218025208,-0.00460544228553772,0.23535272479057312,0.33779680728912354
40366689,23,True,0.02512158825993538,0.0250055193901062,0.03687690198421478,0.04111306369304657,0.03000800311565399,-0.00739554688334465
40370728,24,True,0.010704654455184936,-0.00549691915512085,-0.09008613228797913,0.04970487952232361,0.019584298133850098,0.07981714606285095
40372121,25,False,0.0,0.0,0.0,0.0,0.0,0.0
40382210,26,True,0.018001769913826137,0.01001795008778572,0.03320127818733454,0.008176244795322418,0.032956161827314645,0.005657214671373367
40383360,27,True,0.04873609784990549,0.022055882960557938,0.07373314816504717,-0.002130851149559021,0.10530209541320801,0.04472021386027336
40387134,28,True,0.13331643864512444,0.1401500701904297,-0.06637927517294884,-0.02731003612279892,0.2947368919849396,0.32538454234600067
40388935,29,True,0.0666925847530365,0.04463684558868408,0.02152228355407715,0.07513296604156494,0.03762948513031006,0.15454134345054626
40393093,30,False,0.0,0.0,0.0,0.0,0.0,0.0
40396223,31,False,0.0,0.0,0.0,0.0,0.0,0.0
40396332,32,True,0.026673677563667297,-0.018968939781188965,0.008713461458683014,-0.0030822157859802246,0.13343065604567528,0.013275425881147385
40397650,33,False,0.0,0.0,0.0,0.0,0.0,0.0
40397796,34,False,0.0,0.0,0.0,0.0,0.0,0.0
40398088,35,False,0.0,0.0,0.0,0.0,0.0,0.0
40398747,36,True,0.0094157874584198,0.017207443714141846,0.02111196517944336,-0.0014322102069854736,-0.01147770881652832,0.021669447422027588
40400903,37,False,0.0,0.0,0.0,0.0,0.0,0.0
40403755,38,True,0.002524756733328104,0.004761556163430214,-0.004684310406446457,0.020937183871865273,0.0161183075979352,-0.02450895356014371
40404209,39,False,0.0,0.0,0.0,0.0,0.0,0.0
40405170,40,False,0.0,0.0,0.0,0.0,0.0,0.0
40406609,41,False,0.0,0.0,0.0,0.0,0.0,0.0
40406734,42,False,0.0,0.0,0.0,0.0,0.0,0.0
40407142,43,False,0.0,0.0,0.0,0.0,0.0,0.0
40408903,44,True,-0.18803370893001556,-0.05206954479217529,-0.5009638369083405,-0.232059046626091,-0.24211081862449646,0.08703470230102539
40409700,45,True,0.08009283542633057,1.1528290510177612,-2.5471463203430176,0.8334295749664307,-0.681962251663208,1.6433141231536865
40411223,46,False,0.0,0.0,0.0,0.0,0.0,0.0
40411831,47,True,0.06552809327840806,0.005182623863220215,-0.14485090225934982,0.19505013525485992,0.07420888543128967,0.19804972410202026
40412305,48,False,0.0,0.0,0.0,0.0,0.0,0.0
40413292,49,False,0.0,0.0,0.0,0.0,0.0,0.0
40415944,50,True,0.1167311429977417,0.030768901109695435,0.06976646184921265,-0.11047211289405823,0.3996279537677765,0.19396451115608215
40421537,51,False,0.0,0.0,0.0,0.0,0.0,0.0
40422863,52,False,0.0,0.0,0.0,0.0,0.0,0.0
40424770,53,False,0.0,0.0,0.0,0.0,0.0,0.0
40425297,54,False,0.0,0.0,0.0,0.0,0.0,0.0
40425302,55,False,0.0,0.0,0.0,0.0,0.0,0.0
40425958,56,False,0.0,0.0,0.0,0.0,0.0,0.0
40426083,57,True,-0.028518836200237273,-0.00904979556798935,-0.05795016139745712,-0.07439479231834412,-0.011539198458194733,0.01033976674079895
40426345,58,True,0.33350038826465606,1.4568195343017578,-0.15034937858581543,-0.10514545440673828,0.21355700492858887,0.25262023508548737
40426350,59,False,0.0,0.0,0.0,0.0,0.0,0.0
40426613,60,True,0.05393208069726825,0.14339226996526122,-0.006037667393684387,-0.02161085605621338,0.13049715757369995,0.023419499397277832
40426764,61,True,0.04419447965919972,0.006318192929029465,0.009495630860328674,0.00629192590713501,0.07298640161752701,0.12588024698197842
40426778,62,False,0.0,0.0,0.0,0.0,0.0,0.0
40427681,63,True,-0.05904238699004054,0.12147124344483018,-0.35823068022727966,-0.29688213765621185,0.3925905413925648,-0.15416090190410614
40427820,64,True,0.25421184450387957,0.1843285709619522,0.04339438769966364,0.03537183906883001,0.35635877773165703,0.6516056470572948
40427938,65,True,0.012120011448860168,0.020791806280612946,0.027931630611419678,-0.003775976598262787,0.0003681555390357971,0.015284441411495209
40429280,66,True,0.005510562658309936,0.0019262433052062988,0.0312592089176178,0.004732102155685425,0.0019319355487823486,-0.012296676635742188
40430479,67,True,0.006598417460918426,0.000881195068359375,0.018314652144908905,0.006629258394241333,0.005367636680603027,0.0017993450164794922
40432049,68,False,0.0,0.0,0.0,0.0,0.0,0.0
40433775,69,False,0.0,0.0,0.0,0.0,0.0,0.0
40435989,70,True,0.0016324399039149284,0.005473533645272255,0.0011056466028094292,0.011268459260463715,0.002005675807595253,-0.01169111579656601
40436263,71,False,0.0,0.0,0.0,0.0,0.0,0.0
40436957,72,True,0.027563962154090405,0.022308189421892166,0.0194815993309021,0.010995648801326752,0.04286112543195486,0.042173247784376144
40438567,73,True,0.017728768289089203,0.03467513620853424,-0.0016724839806556702,0.021985560655593872,0.004111349582672119,0.029544278979301453
40440595,74,True,0.0021371515467762947,-0.14085502922534943,0.04411112517118454,0.01673199702054262,0.042368412017822266,0.04832925274968147
40440732,75,False,0.0,0.0,0.0,0.0,0.0,0.0
40440909,76,True,0.013476735353469849,0.03829079866409302,0.011991411447525024,0.00043392181396484375,0.005341529846191406,0.011326014995574951
40441036,77,True,0.006257276237010956,0.0146382637321949,0.018871169537305832,0.00010001659393310547,-0.0018561258912086487,-0.00046694278717041016
40442283,78,True,0.008012079820036887,-0.014729820191860199,0.015161491930484772,0.010473787784576416,0.009444497525691986,0.019710442051291466
40442821,79,False,0.0,0.0,0.0,0.0,0.0,0.0
40446006,80,False,0.0,0.0,0.0,0.0,0.0,0.0
40448056,81,False,0.0,0.0,0.0,0.0,0.0,0.0
40448057,82,False,0.0,0.0,0.0,0.0,0.0,0.0
40449759,83,False,0.0,0.0,0.0,0.0,0.0,0.0
40450024,84,True,0.036719366908073425,-0.07865613512694836,-0.020490963011980057,0.0867997594177723,0.07117698341608047,0.12476718984544277
40451118,85,False,0.0,0.0,0.0,0.0,0.0,0.0
40451421,86,True,0.014979437366127968,-0.002647578716278076,0.019021669402718544,0.03069605492055416,0.039175448939204216,-0.011348407715559006
40451711,87,True,-0.21793346405029296,-0.873237669467926,0.1992131471633911,0.5484970808029175,-0.3867838978767395,-0.5773559808731079
40451839,88,True,0.014717510342597962,0.017634689807891846,0.021772116422653198,-0.003981858491897583,0.030353188514709473,0.0078094154596328735
40453759,89,False,0.0,0.0,0.0,0.0,0.0,0.0
40453871,90,True,0.0010813415050506593,-0.012221157550811768,0.013867989182472229,-0.0007459893822669983,-0.002045772969722748,0.006551638245582581
40453904,91,True,-0.0013861581683158875,-0.023796744644641876,0.009787946939468384,0.013551265001296997,-0.00858999788761139,0.0021167397499084473
40453907,92,True,0.0057980924844741825,0.02312527596950531,0.01042783260345459,-0.014877334237098694,0.010169923305511475,0.00014476478099822998
40454032,93,False,0.0,0.0,0.0,0.0,0.0,0.0
40454321,94,False,0.0,0.0,0.0,0.0,0.0,0.0
40455355,95,False,0.0,0.0,0.0,0.0,0.0,0.0
40457018,96,True,0.06695006177760661,0.0626915693283081,0.04146619513630867,0.049559612991288304,0.08765013888478279,0.09338279254734516
