node_id,node_index,has_upstream,mean_delta_macro_nse,seed_42_delta_macro_nse,seed_43_delta_macro_nse,seed_44_delta_macro_nse,seed_45_delta_macro_nse,seed_46_delta_macro_nse
40321907,0,True,0.014606490824371576,0.0007305345498025417,-0.015234842896461487,0.033012173138558865,0.02237604558467865,0.03214854374527931
40323430,1,False,0.0,0.0,0.0,0.0,0.0,0.0
40323438,2,True,0.01575267584994435,0.0027547874487936497,-0.0005356520414352417,0.0210084468126297,0.025323793292045593,0.030212003737688065
40324001,3,False,0.0,0.0,0.0,0.0,0.0,0.0
40324526,4,False,0.0,0.0,0.0,0.0,0.0,0.0
40324971,5,True,0.7670287132263184,4.3096466064453125,-0.19033432006835938,-0.6965265274047852,2.696694850921631,-2.284337043762207
40326493,6,False,0.0,0.0,0.0,0.0,0.0,0.0
40326494,7,False,0.0,0.0,0.0,0.0,0.0,0.0
40327993,8,False,0.0,0.0,0.0,0.0,0.0,0.0
40332581,9,False,0.0,0.0,0.0,0.0,0.0,0.0
40335035,10,False,0.0,0.0,0.0,0.0,0.0,0.0
40335169,11,False,0.0,0.0,0.0,0.0,0.0,0.0
40335608,12,False,0.0,0.0,0.0,0.0,0.0,0.0
40338190,13,False,0.0,0.0,0.0,0.0,0.0,0.0
40343554,14,True,0.06935565695166587,0.015595775097608566,-0.009264573454856873,0.008797310292720795,0.14057321846485138,0.19107655435800552
40343949,15,True,0.192599630728364,0.0660558920353651,-0.3033266179263592,0.5844677686691284,-0.020109549164772034,0.6359106600284576
40344462,16,True,0.028790998458862304,-0.001422107219696045,0.017320215702056885,0.021808117628097534,0.040637463331222534,0.06561130285263062
40344711,17,False,0.0,0.0,0.0,0.0,0.0,0.0
40344826,18,True,0.022437697649002074,0.04286104440689087,0.016769051551818848,0.024305105209350586,-0.00417742133140564,0.03243070840835571
40351507,19,True,0.19839926324784757,0.03745643608272076,0.053464412689208984,0.25239309668540955,0.22650133073329926,0.42218104004859924
40361734,20,False,0.0,0.0,0.0,0.0,0.0,0.0
40364652,21,True,0.0459706649184227,-0.07132528722286224,-0.00877978652715683,0.05394141003489494,0.0776565633714199,0.17836042493581772
40365275,22,True,0.12489627599716187,-0.022554904222488403,0.0848933756351471,0.004448890686035156,0.23408153653144836,0.3236124813556671
40366689,23,True,0.034966764599084856,0.02715681493282318,0.038020193576812744,0.038272008299827576,0.02925419807434082,0.04213060811161995
40370728,24,True,0.012260186672210693,-0.0051736533641815186,-0.08190852403640747,0.04197734594345093,0.022009313106536865,0.08439645171165466
40372121,25,False,0.0,0.0,0.0,0.0,0.0,0.0
40382210,26,True,0.01824594991048798,0.010819178074598312,0.03450016211718321,0.009092405438423157,0.03464484092546627,0.0021731629967689514
40383360,27,True,0.04920897744596005,0.02180248498916626,0.07797453552484512,-0.001299642026424408,0.10690663196146488,0.04066087678074837
40387134,28,True,0.13884926661849023,0.1801607981324196,-0.05607001110911369,-0.020633898675441742,0.27313966304063797,0.317649781703949
40388935,29,True,0.07140867114067077,0.04163485765457153,0.02428114414215088,0.0897747278213501,0.036364853382110596,0.16498777270317078
40393093,30,False,0.0,0.0,0.0,0.0,0.0,0.0
40396223,31,False,0.0,0.0,0.0,0.0,0.0,0.0
40396332,32,True,0.027995032817125322,-0.014031827449798584,0.01122824102640152,0.0027399249374866486,0.12360024079680443,0.01643858477473259
40397650,33,False,0.0,0.0,0.0,0.0,0.0,0.0
